LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,,,,,,,,,,,,,,,,,,,,
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,,,,,,,,,,,,,,,,,,,,
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,,,,,,,,,,,,,,,,,,,,
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,,,,,,,,,,,,,,,,,,,,,
ID348812,348812,0,8.944656372,2.77527586,3.610984235,2.556576758,0,0,0.0575,1,,95.12903226,98,63,119,2949,16.32123757,0.208459156,2.010846807, ,348809,2,4.991527557,3.306184693,4.072003871,1.781377277,0,0,0.0575,1,,52.19354839,53,35,65,1618,8.723223238,0.211635668,2.090194236
ID348841,348841,0,11.19504547,2.792058612,3.598518553,2.4709918,3.821745157,1,0.0575,1,,116.4516129,118,85,145,3610,17.97746499,0.211790219,2.2642559,ID348834,348834,2,5.824390411,3.245136736,4.109236131,1.50846881,3.821745157,1,0.0575,1,,63.51612903,65,42,79,1969,10.52574928,0.204184899,2.046404298
ID348828,348828,0,7.423248291,2.681877852,3.607854339,2.444648237,7.643490314,2,0.0575,1,,87.48387097,90,61,107,2712,14.17949451,0.199324022,2.050786017,ID348826,348826,2,2.882888794,3.252291151,4.059919724,1.517554921,7.643490314,2,0.0575,1,,29.64516129,31,21,37,919,4.579289516,0.203905097,2.192913694
ID348796,348796,0,3.876419067,2.548014869,3.585426335,2.583780525,11.46523547,3,0.0575,1,,47.93548387,49,31,58,1486,7.818505756,0.188615104,1.945801682,ID348791,348791,2,1.787853241,3.255717519,3.863230743,1.773393425,11.46523547,3,0.0575,1,,18.03225806,19,12,23,559,2.938070466,0.180580116,1.877553691
ID348766,348766,0,4.011936188,2.60716753,3.557858463,2.396854469,15.28698063,4,0.0575,1,,45.77419355,48,33,56,1419,6.636814886,0.19219049,2.223705314,ID348765,348765,2,1.493179321,3.250931481,3.904861196,1.795044718,15.28698063,4,0.0575,1,,17.03225806,18,13,21,528,2.359150567,0.180108028,2.203727394
ID348777,348777,0,7.620735168,2.582294438,3.543895536,2.640096346,19.10872579,5,0.0575,1,,83.25806452,85,58,102,2581,13.37153131,0.196760856,2.047417869,ID348774,348774,2,1.526492119,3.259543461,3.864890399,1.857032376,19.10872579,5,0.0575,1,,14.5483871,15,9,19,451,2.930741768,0.212326794,1.738811041
ID348853,348853,0,7.082054138,2.582347169,3.618940662,2.552465746,22.93047094,6,0.0575,1,,104.7741935,107,75,125,3248,15.03930335,0.161773285,1.940179992,ID348875,348875,2,1.987802505,3.330297063,4.00866299,1.664397642,30.57396126,8,0.0575,1,,26.80645161,27,20,32,831,3.506369013,0.163768527,2.151669383
ID348783,348783,0,5.445121765,2.683429532,3.568834165,2.459551148,26.7522161,7,0.0575,1,,77.48387097,78,63,91,2402,8.6559073,0.152586781,2.37012901,ID348856,348856,2,1.761629105,3.258820516,3.976974108,1.555121067,34.39570642,9,0.0575,1,,18.12903226,18,14,23,562,2.963578192,0.205649246,2.086865071
ID348876,348876,0,2.566925049,2.750851927,3.543596086,2.401105787,30.57396126,8,0.0575,1,,41,42,32,47,1271,4.611579628,0.147490004,2.285482067,ID348866,348866,2,1.683841705,3.177935162,4.01983225,1.627306852,38.21745157,10,0.0575,1,,17.64516129,18,12,22,547,3.115000129,0.191700527,1.822442082
ID348858,348858,0,3.833976746,2.708630303,3.502406363,2.408751079,34.39570642,9,0.0575,1,,45.61290323,46,32,55,1414,6.815068693,0.189135433,2.129065645,ID348893,348893,2,1.311166763,3.278639491,4.14955752,0.98220443,42.03919673,11,0.0575,1,,12.22580645,13,8,16,379,2.390392958,0.208457227,1.764509023
ID348867,348867,0,4.494476318,2.954184512,3.405817752,2.375274762,38.21745157,10,0.0575,1,,47.80645161,49,32,60,1482,8.109333531,0.208515761,2.034313639,,,,,,,,,,,,,,,,,,,,
ID348896,348896,0,2.499910355,3.032754944,3.381035687,2.244381403,42.03919673,11,0.0575,1,,28.35483871,29,21,35,879,3.843161781,0.17975266,2.248292809,,,,,,,,,,,,,,,,,,,,
ID348886,348886,0,2.541572571,3.070864742,3.345402225,2.409669774,45.86094189,12,0.0575,1,,29.48387097,31,22,37,914,4.272945649,0.190700944,2.210229009,,,,,,,,,,,,,,,,,,,,
ID348880,348880,0,4.782283783,2.926964891,3.423006974,2.587821005,49.68268704,13,0.0575,1,,48.58064516,50,32,61,1506,8.385599536,0.206002174,1.979168944,,,,,,,,,,,,,,,,,,,,
ID348904,348904,0,2.197240829,2.825646062,3.47565933,2.354623619,53.5044322,14,0.0575,1,,25.70967742,26,18,32,797,4.244161074,0.200136241,2.020365541,,,,,,,,,,,,,,,,,,,,
ID348912,348912,0,4.829917908,2.820765615,3.483345441,2.428305905,57.32617736,15,0.0575,1,,54.22580645,56,38,66,1681,8.297428025,0.200207395,2.180300421,,,,,,,,,,,,,,,,,,,,
ID348930,348930,0,2.059183121,2.805035698,3.566440532,2.683946295,61.14792252,16,0.0575,1,,25.67741935,25,18,31,796,3.806898097,0.180064006,2.058408004,,,,,,,,,,,,,,,,,,,,
ID348921,348921,0,1.552196503,2.807967901,3.585602677,2.539363383,64.96966767,17,0.0575,1,,20.16129032,21,15,24,625,2.477858944,0.16386477,2.291156788,,,,,,,,,,,,,,,,,,,,
ID348924,348924,0,4.484733582,2.833015838,3.58354854,2.236129325,68.79141283,18,0.0575,1,,63.29032258,65,43,75,1962,8.896417063,0.152430966,1.881960278,,,,,,,,,,,,,,,,,,,,
ID348936,348936,0,2.686309814,2.848911825,3.612793063,2.349288566,72.61315799,19,0.0575,1,,38.12903226,39,28,45,1182,4.688581416,0.1491711,2.111272611,,,,,,,,,,,,,,,,,,,,
